,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.9960344433784485,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",lol cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks cucks
1,1.0,0.9819463491439819,"shit, redirect, page, people, think, man, say, add, go, die",tell robbed territory tell truth tell big lie big insult ancestor ancestor live century live ottoman rule austrian rule austrohungarian rule ww finally live state trety trianon give liberty recognize right live free people ethnic majority land live rightful thing let live free land somebody live land century thief think
2,2.0,0.9784377217292786,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",mejor puntaje micaela paris florencia restani sentenciados juli n garc camila rold n ayumi l pez carlos sterczer mauricio holowaty rodrigo nchez florencia alderete salvados por el jurado rodrigo nchez ayumi l pez camila rold n florencia alderete carlos sterczer salvados por el p blico juli n garc eliminado mauricio holowaty
3,3.0,0.9939072728157043,"source, edit, remove, block, stop, call, section, see, make, page",ha ivrit shelha beseder gamurt tire ani lo moher printim enli shum baaya lyaasir et ze behlyal order print ani gam noten le anashim lishtamesh ha tmunot bli kesef ata ehol lihapes kol ha internet lirot ze kaha ahshav ha ziyud sheli ole arbe meot kesef ha matara sheli laasot sefer shel ziporey israel wildlife israel tire ani roe statistika taaminli mi kan kimat lo baim anashim ha maatara sheli ze le arzenu ha kdosha yaavou tayarim ani pashut lo mevin eh anashim hem behlyal lo israelim osim po tikunim mosirim link le atar ahshav ani yagidleha od mashu ani zodek ani sholeeh le kol atar esh po bakasha liknot tmuna full faim email em yaanu li yagudu mehir ze baduk kol site hu comershinal phina ha zot ulyal lo kol site rashum order print aval ze uvda dereh ha gav ani lo marviyah mi ze behlyal kol order print ze le rizinut livad ani moher tmunot dereh sahnuyot lo dereh atar ani yasim oto od pam hie zoreh ani behlyal yaase skript hu yaase et ze bemkomi ha bahur ha ze yamshih lyaasot et ha dvarim ha raim ha elyu
4,4.0,0.9950873851776123,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",unspecified source imagedevils team photojpg thanks upload imagedevils team photojpg notice file description page currently specify create content copyright status unclear create file need specify owner copyright obtain website link website take together restatement website term use content usually sufficient information however copyright holder different website publisher copyright also acknowledge well add source please add proper copyright licensing tag file one already createdtook picture audio video tag use release gfdl believe medium meet criteria wikipediafair use use tag one tag list wikipediaimage copyright tag use see wikipediaimage copyright tag full list copyright tag use uploaded file consider check specify source tag find list file upload follow link unsourced untagged image may delete one week tag describe criterion speedy deletion image copyright nonfree license per wikipediafair use image delete hour question please ask medium copyright question page thank nonfree use dispute imagedevils team photojpg aligncenter stylebackgroundcolor white border px solid red padding px textalign center fontsize large file may delete thanks upload imagedevils team photojpg however concern rationale provide use image fair use may invalid please read instruction wikipedianonfree content carefully go image description page clarify think image qualifies fair use use one templates wikipediafair use rationale guideline easy way ensure image compliance wikipedia policy remember must complete template simply insert blank template image page determine image qualify fair use delete within couple day accord criterion speedy deletion question please ask medium copyright question page thank
5,5.0,0.9917686581611633,"say, go, think, get, make, people, see, take, year, work",provide picture show problem object center screen object shape good move mouse right object leave side longer move computer mouse object longer object center screen move mouse corner object wrong shape big center shape distortion depend far close object need somehow remove part vertical horizontal line render image need remove proportionally depend far visible line center need change algorithms object correctly render position far screen center possibility ray trance need refract ray glass also serious distortion ray go wrong algorithm pretty stupid real lens iris real certain size perspective one axis say axis x deep axis perspective distance fell like perpendicular line corner distance algorithm like line along center deepfar distance thats object become distorted shape
6,6.0,0.9992805123329163,"gay, porn, cunt, make, get, people, girl, go, think, picture",gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay gay
7,7.0,0.9985462427139282,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",protecten yur profiel befour eye vandeliez agen sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex
8,8.0,0.9963541626930237,"fuck, shit, bitch, get, go, try, make, account, edit, see",go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick go fuck sister uneducated hick
9,9.0,0.9913651347160339,"edit, page, source, see, use, article, also, claim, wikipedia, remove",copyright problem remove prior content article duplicate one previously publish source material copy copied closely paraphrased material rewritten remove must restore unless duly release compatible license information please see use copyright work others copyright holder material donating copyright material legal reason can not accept copyright text image borrow web site publish material addition delete contributor may use copyrighted publication source information accord fair use may copy sentence phrase provide included quotation mark reference properly material may also rewrite infringe copyright original plagiarize source therefore paraphrase portion must provide source please see guideline nonfree text properly implement limited quotation copyright text wikipedia take copyright violation seriously persistent violator block edit appreciate contribution must require contributor understand comply policy thank
